,6-base_instance_uncertain_time-results2-,converged_iterations,total_time,min
Mk04_100_25,83.0,30.0,2.3275485038757324,70.0
Mk04_100_50,88.0,30.0,2.2650935649871826,70.0
Mk04_100_75,95.0,30.0,2.28071665763855,70.0
Mk04_25_25,90.0,30.0,2.3744711875915527,70.0
Mk04_25_50,84.0,30.0,2.296365261077881,65.0
Mk04_25_75,81.0,30.0,2.4369330406188965,67.0
Mk04_50_25,86.0,30.0,2.936779022216797,68.0
Mk04_50_50,88.0,30.0,2.874361515045166,70.0
Mk04_50_75,87.0,30.0,2.8274295330047607,73.0
Mk04_75_25,82.0,30.0,2.858705759048462,70.0
Mk04_75_50,90.0,30.0,2.827495813369751,73.0
Mk04_75_75,101.0,30.0,2.7962214946746826,78.0
Mk06_100_25,92.0,30.0,4.84261679649353,76.0
Mk06_100_50,95.0,30.0,4.717649221420288,77.0
Mk06_100_75,102.0,30.0,4.842583179473877,78.0
Mk06_25_25,86.0,30.0,4.873894214630127,74.0
Mk06_25_50,93.0,30.0,4.733236312866211,75.0
Mk06_25_75,92.0,30.0,4.795722484588623,76.0
Mk06_50_25,90.0,30.0,4.733267307281494,73.0
Mk06_50_50,91.0,30.0,4.639574289321899,74.0
Mk06_50_75,94.0,30.0,4.764482259750366,75.0
Mk06_75_25,93.0,30.0,4.71764612197876,78.0
Mk06_75_50,96.0,30.0,4.748887062072754,78.0
Mk06_75_75,93.0,30.0,4.686404466629028,80.0
Mk07_100_25,189.0,30.0,3.405489683151245,165.0
Mk07_100_50,193.0,30.0,3.483558416366577,172.0
Mk07_100_75,209.0,30.0,3.5147697925567627,167.0
Mk07_25_25,184.0,30.0,3.5333480834960938,157.0
Mk07_25_50,175.0,30.0,3.452317237854004,156.0
Mk07_25_75,205.0,30.0,3.5616674423217773,165.0
Mk07_50_25,182.0,30.0,3.6553971767425537,160.0
Mk07_50_50,189.0,30.0,3.6085312366485596,160.0
Mk07_50_75,185.0,30.0,3.5772554874420166,156.0
Mk07_75_25,191.0,30.0,3.4210758209228516,160.0
Mk07_75_50,197.0,30.0,3.4991815090179443,160.0
Mk07_75_75,195.0,30.0,3.4991815090179443,158.0
Mk10_100_25,273.0,30.0,8.294936895370483,237.0
Mk10_100_50,270.0,30.0,8.263725519180298,242.0
Mk10_100_75,278.0,30.0,8.248070240020752,241.0
Mk10_25_25,277.0,30.0,8.263657093048096,243.0
Mk10_25_50,287.0,30.0,8.251002550125122,243.0
Mk10_25_75,278.0,30.0,8.466301202774048,241.0
Mk10_50_25,276.0,30.0,8.414189338684082,236.0
Mk10_50_50,286.0,30.0,7.873158931732178,241.0
Mk10_50_75,271.0,30.0,7.841916561126709,237.0
Mk10_75_25,280.0,30.0,7.716943025588989,242.0
Mk10_75_50,290.0,30.0,7.7823028564453125,252.0
Mk10_75_75,279.0,30.0,7.857532739639282,249.0
