,6-simple2-transformer2-256-1-099-MK-9202-,converged_iterations,total_time,min
Mk01,43.0,2654.0,353.542356967926,42.0
Mk02,31.0,2366.0,293.08481001853943,31.0
Mk03,205.0,2933.0,769.2245645523071,204.0
Mk04,67.0,3248.0,598.5078032016754,67.0
Mk05,174.0,5309.0,1115.0415501594543,174.0
Mk06,70.0,11807.0,2956.9380383491516,69.0
Mk07,160.0,4445.0,883.3464879989624,154.0
Mk08,523.0,2861.0,1053.2326991558075,523.0
Mk09,311.0,8954.0,3603.595537185669,307.0
Mk10,223.0,9026.0,3600.4036865234375,222.0
