,6-base_instance_uncertain_time-results2-,converged_iterations,total_time,min
Mk04_100_25,85.0,30.0,2.7025249004364014,71.0
Mk04_100_50,89.0,30.0,2.7024929523468018,71.0
Mk04_100_75,95.0,30.0,2.7181448936462402,69.0
Mk04_25_25,87.0,30.0,2.6712169647216797,68.0
Mk04_25_50,86.0,30.0,2.7337355613708496,69.0
Mk04_25_75,85.0,30.0,2.6868374347686768,67.0
Mk04_50_25,86.0,30.0,2.70249080657959,70.0
Mk04_50_50,84.0,30.0,2.8118438720703125,71.0
Mk04_50_75,91.0,30.0,2.686870574951172,69.0
Mk04_75_25,80.0,30.0,2.749359130859375,70.0
Mk04_75_50,91.0,30.0,2.749321460723877,74.0
Mk04_75_75,95.0,30.0,2.671250343322754,78.0
Mk06_100_25,94.0,30.0,4.327113151550293,77.0
Mk06_100_50,89.0,30.0,4.467705249786377,80.0
Mk06_100_75,97.0,30.0,4.5614333152771,78.0
Mk06_25_25,86.0,30.0,4.43646764755249,75.0
Mk06_25_50,92.0,30.0,4.3739402294158936,77.0
Mk06_25_75,87.0,30.0,4.392528057098389,77.0
Mk06_50_25,90.0,30.0,4.311490058898926,75.0
Mk06_50_50,96.0,30.0,4.545809030532837,77.0
Mk06_50_75,94.0,30.0,4.498979806900024,77.0
Mk06_75_25,92.0,30.0,4.4450364112854,80.0
Mk06_75_50,94.0,30.0,4.389630079269409,78.0
Mk06_75_75,97.0,30.0,4.373945951461792,80.0
Mk07_100_25,195.0,30.0,3.2804837226867676,159.0
Mk07_100_50,195.0,30.0,3.249241590499878,170.0
Mk07_100_75,190.0,30.0,3.3429670333862305,170.0
Mk07_25_25,195.0,30.0,3.264859676361084,163.0
Mk07_25_50,175.0,30.0,3.1867563724517822,156.0
Mk07_25_75,197.0,30.0,3.233618974685669,163.0
Mk07_50_25,193.0,30.0,3.3116934299468994,155.0
Mk07_50_50,187.0,30.0,3.1555440425872803,158.0
Mk07_50_75,185.0,30.0,3.186756134033203,157.0
Mk07_75_25,183.0,30.0,3.202409267425537,159.0
Mk07_75_50,200.0,30.0,3.2492382526397705,165.0
Mk07_75_75,203.0,30.0,3.108645439147949,154.0
Mk10_100_25,275.0,30.0,7.623215198516846,238.0
Mk10_100_50,269.0,30.0,7.943526744842529,239.0
Mk10_100_75,279.0,30.0,7.918574333190918,233.0
Mk10_25_25,273.0,30.0,7.7638068199157715,242.0
Mk10_25_50,285.0,30.0,7.8731584548950195,241.0
Mk10_25_75,276.0,30.0,7.841949701309204,225.0
Mk10_50_25,270.0,30.0,7.703999757766724,238.0
Mk10_50_50,284.0,30.0,8.076269388198853,244.0
Mk10_50_75,272.0,30.0,7.826297044754028,243.0
Mk10_75_25,278.0,30.0,7.888747215270996,239.0
Mk10_75_50,283.0,30.0,7.923491477966309,248.0
Mk10_75_75,288.0,30.0,7.60756254196167,245.0
