,6-simple2-transformer2-256-1-099-MK-9202-,converged_iterations,total_time,min
Mk01,41.0,3374.0,389.92428517341614,41.0
Mk02,31.0,2789.0,330.78787112236023,31.0
Mk03,204.0,3392.0,832.2862470149994,204.0
Mk04,67.0,2654.0,436.6427285671234,67.0
Mk05,176.0,7361.0,1459.208637714386,176.0
Mk06,71.0,6173.0,1450.5911676883698,70.0
Mk07,154.0,3167.0,605.8134565353394,153.0
Mk08,523.0,3311.0,1222.8555386066437,523.0
Mk09,307.0,9062.0,3602.778459072113,307.0
Mk10,221.0,8540.0,3601.848142147064,219.0
