,6-base_instance_uncertain_time-results-,converged_iterations,total_time,min
Mk04_100_25,71,0,0,0
Mk04_100_50,70,0,0,0
Mk04_100_75,68,0,0,0
Mk04_25_25,70,0,0,0
Mk04_25_50,67,0,0,0
Mk04_25_75,66,0,0,0
Mk04_50_25,69,0,0,0
Mk04_50_50,70,0,0,0
Mk04_50_75,72,0,0,0
Mk04_75_25,70,0,0,0
Mk04_75_50,73,0,0,0
Mk04_75_75,76,0,0,0
Mk06_100_25,77,0,0,0
Mk06_100_50,76,0,0,0
Mk06_100_75,77,0,0,0
Mk06_25_25,75,0,0,0
Mk06_25_50,74,0,0,0
Mk06_25_75,77,0,0,0
Mk06_50_25,77,0,0,0
Mk06_50_50,74,0,0,0
Mk06_50_75,78,0,0,0
Mk06_75_25,79,0,0,0
Mk06_75_50,80,0,0,0
Mk06_75_75,80,0,0,0
Mk07_100_25,165,0,0,0
Mk07_100_50,169,0,0,0
Mk07_100_75,170,0,0,0
Mk07_25_25,164,0,0,0
Mk07_25_50,156,0,0,0
Mk07_25_75,167,0,0,0
Mk07_50_25,157,0,0,0
Mk07_50_50,158,0,0,0
Mk07_50_75,158,0,0,0
Mk07_75_25,161,0,0,0
Mk07_75_50,167,0,0,0
Mk07_75_75,149,0,0,0
Mk10_100_25,234,0,0,0
Mk10_100_50,243,0,0,0
Mk10_100_75,240,0,0,0
Mk10_25_25,241,0,0,0
Mk10_25_50,240,0,0,0
Mk10_25_75,245,0,0,0
Mk10_50_25,238,0,0,0
Mk10_50_50,240,0,0,0
Mk10_50_75,237,0,0,0
Mk10_75_25,240,0,0,0
Mk10_75_50,244,0,0,0
Mk10_75_75,243,0,0,0
