,6-simple2-transformer2-256-1-099-MK-9202-,converged_iterations,total_time,min
Mk01,42.0,2168.0,244.8837492465973,41.0
Mk02,31.0,2420.0,285.8560793399811,30.0
Mk03,204.0,3095.0,757.7430164813995,204.0
Mk04,69.0,3095.0,519.1686034202576,67.0
Mk05,176.0,6605.0,1309.6538558006287,175.0
Mk06,70.0,9530.0,2276.2534308433533,69.0
Mk07,157.0,2852.0,545.1454753875732,149.0
Mk08,523.0,2474.0,890.4526953697205,523.0
Mk09,311.0,9089.0,3602.267302274704,307.0
Mk10,226.0,9170.0,3601.595924139023,224.0
