,6-base_instance_uncertain_time-results2-,converged_iterations,total_time,min
Mk04_100_25,92.0,30.0,2.7337350845336914,69.0
Mk04_100_50,85.0,30.0,2.6087961196899414,71.0
Mk04_100_75,101.0,30.0,2.7337377071380615,72.0
Mk04_25_25,81.0,30.0,2.7337050437927246,67.0
Mk04_25_50,85.0,30.0,2.6868696212768555,70.0
Mk04_25_75,80.0,30.0,2.6400084495544434,68.0
Mk04_50_25,89.0,30.0,2.749356269836426,69.0
Mk04_50_50,86.0,30.0,2.718146562576294,70.0
Mk04_50_75,92.0,30.0,2.5931107997894287,69.0
Mk04_75_25,79.0,30.0,2.686906099319458,70.0
Mk04_75_50,87.0,30.0,2.7181150913238525,74.0
Mk04_75_75,104.0,30.0,2.749354362487793,81.0
Mk06_100_25,90.0,30.0,4.373977184295654,74.0
Mk06_100_50,95.0,30.0,4.470438718795776,78.0
Mk06_100_75,96.0,30.0,4.389566659927368,75.0
Mk06_25_25,87.0,30.0,4.311460494995117,73.0
Mk06_25_50,95.0,30.0,4.498945236206055,73.0
Mk06_25_75,94.0,30.0,4.4051806926727295,73.0
Mk06_50_25,90.0,30.0,4.295838832855225,75.0
Mk06_50_50,94.0,30.0,4.452085733413696,76.0
Mk06_50_75,92.0,30.0,4.389567852020264,77.0
Mk06_75_25,94.0,30.0,4.54584264755249,79.0
Mk06_75_50,98.0,30.0,4.545780420303345,81.0
Mk06_75_75,95.0,30.0,4.40521764755249,78.0
Mk07_100_25,192.0,30.0,3.3585896492004395,163.0
Mk07_100_50,197.0,30.0,3.2335877418518066,171.0
Mk07_100_75,203.0,30.0,3.1555447578430176,166.0
Mk07_25_25,187.0,30.0,3.31172776222229,162.0
Mk07_25_50,177.0,30.0,3.31172776222229,156.0
Mk07_25_75,211.0,30.0,3.249239921569824,167.0
Mk07_50_25,187.0,30.0,3.2179644107818604,152.0
Mk07_50_50,189.0,30.0,3.2961373329162598,157.0
Mk07_50_75,188.0,30.0,3.280449867248535,155.0
Mk07_75_25,189.0,30.0,3.3742432594299316,163.0
Mk07_75_50,198.0,30.0,3.342968225479126,163.0
Mk07_75_75,187.0,30.0,3.2023766040802,152.0
Mk10_100_25,283.0,30.0,7.8887779712677,242.0
Mk10_100_50,271.0,30.0,7.966888666152954,244.0
Mk10_100_75,271.0,30.0,7.904403924942017,237.0
Mk10_25_25,284.0,30.0,7.7325663566589355,237.0
Mk10_25_50,280.0,30.0,7.766619920730591,236.0
Mk10_25_75,282.0,30.0,7.888748645782471,246.0
Mk10_50_25,274.0,30.0,8.013753414154053,242.0
Mk10_50_50,284.0,30.0,7.6544599533081055,245.0
Mk10_50_75,272.0,30.0,7.71694540977478,246.0
Mk10_75_25,268.0,30.0,7.498247146606445,242.0
Mk10_75_50,312.0,30.0,7.654458284378052,245.0
Mk10_75_75,280.0,30.0,7.732568740844727,242.0
