,6-simple2-transformer2-256-1-099-MK-9202-,converged_iterations,total_time,min
Mk01,41.0,2780.0,319.3157277107239,41.0
Mk02,29.0,3140.0,373.7843689918518,29.0
Mk03,204.0,2564.0,620.9647314548492,204.0
Mk04,67.0,3104.0,512.451055765152,67.0
Mk05,176.0,4148.0,803.8227164745331,176.0
Mk06,72.0,10412.0,2492.5090098381042,71.0
Mk07,156.0,3059.0,588.2259168624878,154.0
Mk08,523.0,1070.0,377.524533033371,523.0
Mk09,311.0,8990.0,3600.93501996994,307.0
Mk10,224.0,9089.0,3600.4218990802765,223.0
