,6-base_instance_uncertain_time-results-,converged_iterations,total_time,min
Mk04_100_25,70,0,0,0
Mk04_100_50,69,0,0,0
Mk04_100_75,74,0,0,0
Mk04_25_25,66,0,0,0
Mk04_25_50,68,0,0,0
Mk04_25_75,67,0,0,0
Mk04_50_25,68,0,0,0
Mk04_50_50,71,0,0,0
Mk04_50_75,71,0,0,0
Mk04_75_25,68,0,0,0
Mk04_75_50,71,0,0,0
Mk04_75_75,78,0,0,0
Mk06_100_25,75,0,0,0
Mk06_100_50,78,0,0,0
Mk06_100_75,75,0,0,0
Mk06_25_25,75,0,0,0
Mk06_25_50,77,0,0,0
Mk06_25_75,76,0,0,0
Mk06_50_25,76,0,0,0
Mk06_50_50,74,0,0,0
Mk06_50_75,77,0,0,0
Mk06_75_25,79,0,0,0
Mk06_75_50,76,0,0,0
Mk06_75_75,79,0,0,0
Mk07_100_25,161,0,0,0
Mk07_100_50,169,0,0,0
Mk07_100_75,166,0,0,0
Mk07_25_25,161,0,0,0
Mk07_25_50,156,0,0,0
Mk07_25_75,170,0,0,0
Mk07_50_25,160,0,0,0
Mk07_50_50,162,0,0,0
Mk07_50_75,155,0,0,0
Mk07_75_25,156,0,0,0
Mk07_75_50,165,0,0,0
Mk07_75_75,159,0,0,0
Mk10_100_25,242,0,0,0
Mk10_100_50,242,0,0,0
Mk10_100_75,235,0,0,0
Mk10_25_25,236,0,0,0
Mk10_25_50,239,0,0,0
Mk10_25_75,235,0,0,0
Mk10_50_25,248,0,0,0
Mk10_50_50,244,0,0,0
Mk10_50_75,239,0,0,0
Mk10_75_25,241,0,0,0
Mk10_75_50,251,0,0,0
Mk10_75_75,247,0,0,0
