,6-base_instance_uncertain_time-results-,converged_iterations,total_time,min
Mk04_100_25,69,0,0,0
Mk04_100_50,71,0,0,0
Mk04_100_75,72,0,0,0
Mk04_25_25,67,0,0,0
Mk04_25_50,70,0,0,0
Mk04_25_75,68,0,0,0
Mk04_50_25,69,0,0,0
Mk04_50_50,70,0,0,0
Mk04_50_75,69,0,0,0
Mk04_75_25,70,0,0,0
Mk04_75_50,74,0,0,0
Mk04_75_75,81,0,0,0
Mk06_100_25,74,0,0,0
Mk06_100_50,78,0,0,0
Mk06_100_75,75,0,0,0
Mk06_25_25,73,0,0,0
Mk06_25_50,73,0,0,0
Mk06_25_75,73,0,0,0
Mk06_50_25,75,0,0,0
Mk06_50_50,76,0,0,0
Mk06_50_75,77,0,0,0
Mk06_75_25,79,0,0,0
Mk06_75_50,81,0,0,0
Mk06_75_75,78,0,0,0
Mk07_100_25,163,0,0,0
Mk07_100_50,171,0,0,0
Mk07_100_75,166,0,0,0
Mk07_25_25,162,0,0,0
Mk07_25_50,156,0,0,0
Mk07_25_75,167,0,0,0
Mk07_50_25,152,0,0,0
Mk07_50_50,157,0,0,0
Mk07_50_75,155,0,0,0
Mk07_75_25,163,0,0,0
Mk07_75_50,163,0,0,0
Mk07_75_75,152,0,0,0
Mk10_100_25,242,0,0,0
Mk10_100_50,244,0,0,0
Mk10_100_75,237,0,0,0
Mk10_25_25,237,0,0,0
Mk10_25_50,236,0,0,0
Mk10_25_75,246,0,0,0
Mk10_50_25,242,0,0,0
Mk10_50_50,245,0,0,0
Mk10_50_75,246,0,0,0
Mk10_75_25,242,0,0,0
Mk10_75_50,245,0,0,0
Mk10_75_75,242,0,0,0
