,episode,make_span,reward,min_make_span
0,0.0,749.0,-76.42857142857143,749.0
1,0.0,789.0,-80.51020408163264,749.0
2,0.0,779.0,-79.48979591836735,749.0
3,0.0,754.0,-76.93877551020411,749.0
4,0.0,763.0,-77.85714285714286,749.0
5,0.0,789.0,-80.51020408163265,749.0
6,0.0,830.0,-84.69387755102038,749.0
7,0.0,766.0,-78.16326530612245,749.0
8,0.0,764.0,-77.9591836734694,749.0
9,1.0,732.0,-74.6938775510204,732.0
10,1.0,783.0,-79.89795918367348,732.0
11,1.0,787.0,-80.30612244897961,732.0
12,1.0,731.0,-74.59183673469389,731.0
13,1.0,776.0,-79.18367346938776,731.0
14,1.0,797.0,-81.3265306122449,731.0
15,1.0,752.0,-76.73469387755102,731.0
16,1.0,792.0,-80.81632653061226,731.0
17,1.0,771.0,-78.67346938775508,731.0
18,2.0,757.0,-77.24489795918367,731.0
19,2.0,721.0,-73.57142857142856,721.0
20,2.0,771.0,-78.67346938775509,721.0
21,2.0,755.0,-77.04081632653059,721.0
22,2.0,763.0,-77.85714285714286,721.0
23,2.0,719.0,-73.36734693877551,719.0
24,2.0,736.0,-75.10204081632655,719.0
25,2.0,750.0,-76.53061224489795,719.0
26,2.0,731.0,-74.59183673469389,719.0
27,3.0,770.0,-78.57142857142857,719.0
28,3.0,735.0,-74.99999999999997,719.0
29,3.0,719.0,-73.36734693877554,719.0
30,3.0,795.0,-81.12244897959185,719.0
31,3.0,742.0,-75.71428571428571,719.0
32,3.0,775.0,-79.08163265306122,719.0
33,3.0,749.0,-76.42857142857142,719.0
34,3.0,750.0,-76.53061224489795,719.0
35,3.0,752.0,-76.73469387755102,719.0
36,4.0,735.0,-75.00000000000003,719.0
37,4.0,805.0,-82.14285714285717,719.0
38,4.0,762.0,-77.75510204081634,719.0
39,4.0,743.0,-75.81632653061227,719.0
40,4.0,729.0,-74.3877551020408,719.0
41,4.0,825.0,-84.18367346938776,719.0
42,4.0,774.0,-78.97959183673468,719.0
43,4.0,738.0,-75.30612244897958,719.0
